"cost_center","location"
"10050183",KKN012 - แยกคลองถมเก่า
"10050057",NBI021 - หมู่บ้านวณิชชา บางใหญ่
"10050335",PTE022 - คลองหลวง
"10050056",NMA001 - ชุมชนหนองไผ่ล้อม
"10050755",YST005 - ป่าติ้ว
"10050560",PNB004 - ชนแดน
"10050450",CBI052 - บางเสร่
"10050667",NBI035 - ตลาดเจ้าพระยา
"10050742",UDN011 - หนองหาน
"10050373",NMA076 - จักราช
"10050748",SKN025 - ถนนพุทธสาคร สาย4
"10050188",SPB002 - วัดป่าเลไลยก์
"10050796",NSN015 - ดรีมแลนด์
"10050394",NMA078 - ครบุรี
"10050786",UBN027 - ถนนชยางกูร (ม่วงสามสิบ)
"10050798",YST008 - ถนนวิทยะธำรงค์
"10050782",KSN010 - คำม่วง
"10050196",KKN017 - บ้านทุ่ม
"10050294",CBI022 - วัดท้องคุ้ง
"10050063",NBI022 - เรวดี 62
"10050010",BKK001 - ตลาดวงศกร
"10050792",PTE035 - เอื้ออาทรเสมาฟ้าคราม
"10050227",CBI005 - พระยาสัจจา
"10050046",NBI017 - เอื้ออาทร บางบัวทอง
"10050588",RYG009 - คลองกรำ
"10050686",BKK069 - ถนนสะแกงาม
"10050743",NPT019 - กระทุ่มล้ม สาย 4
"10050290",NMA057 - ถนนมิตรภาพ
"10050770",MKM019 - ชื่นชม
"10050353",CBI045 - พันเสด็จใน
"10050002",NBI002 - ซ.สามัคคี
"10050579",KRI008 - ลำทราย
"10050395",CPM005 - แก้งคร้อ
"10050249",CBI008 - หนองแก บ้านบึง
"10050530",BRM017 - ละหานทราย
"10050319",RYG003 - ปลวกแดง
"10050769",MKM018 - ถนนบรบือ-วาปีปทุม
"10050027",NBI013 - บางบัวทอง
"10050150",BKK032 - ชุมชนวัฒนาร่มไทร
"10050571",SRN011 - หน้ารพ.รัตนบุรี
"10050778",SNK001 - หน้าศูนย์ราชการสกลนคร
"10050487",KRI004 - ท่าเรือพระแท่น
"10050679",CPM011 - บ้านเขว้า
"10050166",NMA040 - โนนไทย
"10050431",CBI049 - สัตหีบ
"10050068",SRI002 - วิหารแดง สระบุรี
"10050357",NMA074 - นวนคร สูงเนิน
"10050443",PRI001 - ถนนเทศบาลดำริ
"10050383",SKN021 - ดูโฮมเพชรเกษม
"10050460",BKK063 - ถนนกิ่งแก้ว
"10050780",NKI001 - เมืองหนองคาย
"10050643",NMA081 - ประทาย 
"10050381",PTE027 - ดูโฮมรังสิต
"10050775",CBI097 - หนองขาม
"10050472",UBN004 - ถนนอุปลีสาน
"10050654",RYG016 - วัดลุ่มมหาชัยชุมพล(ระยอง)
"10050306",SPK006 - นิคมบางปู
"10050739",RYG021 - บ้านค่าย
"10050337",BKK049 - หนองใหญ่
"10050414",KSN002 - หน้า ม. กาฬสินธุ์
"10050008",NBI008 - ตลาดดวงแก้ว
"10050499",PCT003 - ถนนสระหลวง
"10050556",NSN002 - แยกนวมินทร์ (นครสวรรค์)
"10050077",PTE019 - แฟลตปลาทอง
"10050612",RYG012 - นิคมพัฒนา
"10050733",NBP007 - นากลาง
"10050466",UBN006 - ถนนแจ้งสนิท
"10050131",NBI028 - หมู่บ้านบัวทอง
"10050738",KKN036 - ห้วยบง
"10050548",SSK008 - กันทรลักษ์
"10050600",SKW005 - คลองหาด
"10050130",NMA050 - หนองสาหร่าย
"10050623",CBI068 - นาเกลือ
"10050659",RYG019 - เขาดิน
"10050714",PLK009 - ถนนสิงหวัฒน์
"10050053",BKK008 - ซอยสรณคมน์
"10050565",NYK002 - บ้านนา
"10050671",CBI084 - สัตหีบ กม.5
"10050291",CBI026 - บึง
"10050766",RYG029 - ตลาดป่ามะพร้าว
"10050255",BRM015 - หนองโสน
"10050645",NSN011 - หน้าเทคนิคนครสวรรค์
"10050136",BKK030 - พหลโยธิน 52
"10050657",PNB010 - ท่าพล
"10050598",PNB007 - ถนนบวงสรวง
"10050692",NBP006 - หน้าโลตัสหนองบัวลำภู
"10050366",MKM009 - ยางสีสุราช
"10050273",CBI011 - หนองตำลึง
"10050675",CBI085 - วัดหนองเกตุน้อย
"10050543",KPT003 - พรานกระต่าย
"10050260",CBI013 - หมู่บ้านอีสแลนด์
"10050104",SRI016 - ชุมชนบ้านอ้อย
"10050644",NPT014 - ศาลายา
"10050091",BKK017 - เพชรเกษม 81
"10050555",PNB005 - ซับสมอทอด
"10050211",SPB006 - ถนนหมื่นหาญ
"10050542",ACR002 - ถนนอรุณประเสริฐ
"10050734",PRI009 - ท่าประชุม
"10050728",RET014 - จังหาร
"10050549",KPT002 - บึงสามัคคี
"10050278",CBI017 - บ้านสวน 9
"10050101",SRI014 - มวกเหล็ก สระบุรี
"10050615",CBI070 - โรงโป๊ะ
"10050226",SRN002 - ปราสาท
"10050691",RYG025 - ตลาดสระแก้ว
"10050109",SRI019 - หนองโดน
"10050179",KKN009 - แยก ร.8
"10050121",SRI023 - ท่าลาน
"10050730",RYG030 - หนองก้างปลา
"10050073",CCO001 - การไฟฟ้าบางปะกง
"10050147",NMA009 - แยกจอหอ
"10050681",RET013 - สุวรรณภูมิ (เมืองใหม่)
"10050367",MKM016 - นาเชือก
"10050710",RYG027 - บ้านดอน
"10050750",BKK073 - สรงประภา
"10050276",KKN024 - วงเวียนภูเวียง
"10050630",UDN006 - นาดี
"10050747",SKN024 - โพธิ์แจ้
"10050198",ATG002 - วิเศษชัยชาญ
"10050144",NMA011 - หนองหญ้าขาว
"10050253",BRM012 - บ้านกรวด
"10050563",NBP004 - บ้านดินทรายอ่อน
"10050689",NBI037 - ซอยวัดส้มเกลี้ยง
"10050741",PTE033 - ชุมชนเปียร์นนท์
"10050114",SKN012 - วัดใหญ่บ้านบ่อ
"10050621",NSN010 - บรรพตพิสัย
"10050768",CBI098 - ตลาดกุลศรี
"10050003",NBI003 - บางใหญ่ซิตี้ เซ็นเตอร์
"10050683",SKW009 - สี่แยกโคกสูง
"10050159",NMA036 - หนองน้ำใส
"777777",RTF2249 - บ้านกอก
"10050351",BKK053 - บางขุนเทียนชายทะเล
"10050777",MDH003 - สามแยก ธกส.มุกดาหาร
"10050628",PNB009 - หนองไผ่
"10050745",NPT018 - ท่าพูด
"10050301",NMA060 - สำนักตะคร้อ
"10050632",KKN032 - หนองเรือ
"10050439",SKN022 - ดูโฮมพระราม 2
"10050161",CCO011 - พนมสารคาม
"10050137",BKK031 - สุเหร่าคลองหนึ่ง
"10050785",RYG035 - แยกซีเคพลาซ่า
"10050687",CBI090 - หนองเขิน
"10050490",CTI002 - ถนนท่าแฉลบ
"10050772",UDN013 - หน้าค่ายประจักษ์ศิลปาคม
"10050305",LRI004 - ละโว้
"10050382",NBI034 - ดูโฮมบางบัวทอง
"10050080",SRI007 - หน้าพระลาน
"10050581",RBR008 - ชัฏป่าหวาย
"10050641",NPT012 - บ่อพลับ
"10050085",CCO003 - มหาจักรพรรดิ์
"10050347",CBI038 - ศุขประยูร
"10050313",CBI033 - ชุมชนบ้านหนองคล้าใหม่
"10050756",CBI096 - หนองแขวะ
"10050262",SSK002 - อุทุมพรพิสัย
"10050783",CPM012 - บ้านเพชร
"10050629",CBI074 - ตลาดศรีภาชนะ
"10050569",UBN021 - นาเยีย
"10050079",SRI006 - บ้านหมอ
"10050201",KKN010 - บ้านโกทา
"10050184",NMA051 - บัวใหญ่
"10050751",RBR011 - ดำเนินสะดวก
"10050231",CPM002 - ตลาดสดเทศบาลเมืองชัยภูมิ
"10050611",CBI064 - ห้วยใหญ่
"10050635",NPT013 - ดอนยายหอม
"10050705",NPT017 - บางเลน
"10050690",SPK028 - ศรีด่าน ซอย 3
"10050767",RYG034 - ตลาดเปี่ยมลาภ
"10050781",UDN014 - ถนนทหาร
"10050674",UDN009 - หน้าศูนย์ราชการบ้านผือ
"10050677",SPK026 - บางบ่อ
"10050071",BKK014 - เคหะร่มเกล้า
"10050587",RBR009 - สามแยกพลับพลาชัย
"10050510",PLK002 - ถนนมิตรภาพ พิษณุโลก
"10050558",BRM018 - โคกมะม่วง
"10050788",SSK012 - หนองหญ้าลาด
"10050695",SPK030 - ตลาดด่านสำโรง
"10050074",SKN001 - ตลาดมหาชัย ซอยบ้านเช่า
"10050247",LRI003 - ท่าศาลาเขตนิคม
"10050576",KRI007 - ด่านมะขามเตี้ย
"10050379",KKN028 - สีชมพู
"10050120",BKK023 - เคหะรามคำแหง
"10050096",SRI011 - พระพุทธบาท
"10050243",KKN003 - กลางเมือง
"10050029",AYA006 - โรจนะประตู E
"10050094",SRI021 - ถนนสุดบรรทัด
"10050496",PNB002 - หล่มสัก
"10050700",PNB011 - ศรีเทพ
"10050011",AYA001 - พยอม ซ.6
"10050761",SKN028 - ถนนเศรษฐกิจ 1
"10050566",NYK001 - เมืองนครนายก
"10050660",CBI079 - สวนเสือศรีราชา
"10050701",CBI093 - บ้านอำเภอ
"10050082",SKN004 - มหาชัยเทศบาล 8
"10050573",NPT009 - คลองโยง
"10050718",BKK071 - ถนนพระยาสุเรนทร์
"10050419",RET006 - เกษตรวิสัย
"10050773",UBN025 - สถลมาร์ค
"10050647",UDN007 - บ้านถ่อน
"10050735",KKN034 - หน้าโรงพยาบาลชุมแพ
"10050376",KKN027 - อุบลรัตน์
"10050697",PRI007 - วงเวียนนเรศวร
"10050698",CBI091 - ซอยเนินพลับหวาน
"10050779",MDH004 - หน้าตลาดอินโดจีน
"10050481",SKW001 - ในเมืองสระแก้ว
"10050486",NSN001 - ถนนสวรรค์วิถี 
"10050732",NPT020 - บ้านหลังสวน สาย 4
"10050559",KSN006 - นามน
"10050339",BKK051 - ตลาดนัดจ่าศาลราษฎร์พัฒนา
"10050287",RYG001 - สะพานสี่
"10050561",PTE028 - ตลาดไท
"10050584",YST002 - ถนนแจ้งสนิท (ยโสธร)
"10050727",NBP008 - โนนสัง
"10050108",SRI018 - วังม่วง
"10050554",CNT003 - หันคา
"10050265",BKK040 - พระราม 2 ซอย 69
"10050737",KKN037 - สี่แยกบ้านเกิ้ง
"10050703",KRI012 - หนองขาว
"10050656",CBI078 - ซอยวัดวังหิน
"10050661",CBI083 - ชุมชนห้วยใหญ่
"10050567",CBI058 - ดูโฮม แหลมฉบัง 
"10050740",ACR006 - หน้าแขวงทางหลวงอำนาจเจริญ
"10050652",SPK024 - คู่สร้าง
"10050725",LEI001 - นาอาน
"10050228",BRM007 - สามแยกโคกวัด
"10050175",SPK001 - ถนนวัดศรีวารีน้อย
"10050694",SKN023 - เทศบาลเมืองสมุทรสาคร
"10050189",KKN008 - ศรีนวล
"10050334",PTE024 - ลำลูกกาคลอง 6
"10050666",RYG017 - บ้านฉาง 2
"10050155",NMA016 - ตลาดแม่กิมเฮง
"10050639",RYG015 - มาบตาพุด
"10050568",NBP001 - ศรีบุญเรือง
"10050774",NPT021 - วัดไร่ขิง
"10050707",KPT008 - หน้าแม็คโครเมืองกำแพงเพชร
"10050384",NMA077 - ดูโฮมนครราชสีมา
"10050471",PKN002 - โค้งพระจันทร์
"10050030",NBI011 - เมืองทองธานี
"10050349",CBI039 - หมู่บ้านวังมุขแลนด์
"10050575",SPB013 - ด่านช้าง
"10050256",BRM009 - พุทไธสง
"10050149",NBI030 - คลองบางไผ่
"10050280",AYA021 - ตลาดเอก บางปะอิน
"10050596",CTI004 - ทับช้าง
"10050156",NMA037 - ตลาดแม่กร ดอนขวาง
"10050544",UBN016 - แยกเนวาด้า 
"10050637",PTE029 - ลำลูกกาคลอง 3
"10050665",CBI082 - ทุ่งกลม-ตาลหมัน
"10050401",NPT006 - เมืองนครปฐม
"10050585",RET010 - สาเกตุนคร
"10050215",MKM004 - บรบือ
"10050446",PBI001 - ชะอำ
"10050221",KKN022 - กระนวน
"10050515",ACR004 - เสนางคนิคม
"10050506",NSN005 - ชุมแสง
"10050503",PCT002 - หน้าโรงพยาบาลพิจิตร
"10050546",PLK003 - บ้านคลอง 
"10050711",RYG028 - แม่น้ำคู้
"10050744",NSN014 - ตลาดศรีนคร
"10050407",KSN003 - ตลาดเทศบาลเมืองกาฬสินธุ์
"10050447",PBI003 - เขาวัง
"10050397",CCO014 - บางวัว
"10050580",RBR006 - จอมบึง
"10050676",UDN010 - ตลาดโพศรี
"10050039",BKK007 - รามอินทรา 39
"10050060",NBI020 - วัดจันทร์ บางกรวย
"10050619",CBI063 - เทพประสิทธิ์
"10050685",BRM019 - ปะคำ
"10050332",BKK056 - เพิ่มสิน
"10050776",YST007 - เมืองยโสธร
"10050607",CBI073 - หนองอิรุณ
"10050122",NMA002 - ชุมชนการเคหะ เซฟวัน
"10050646",CBI075 - หนองเกตุใหญ่
"10050533",NSN007 - ท่าตะโก
"10050169",AYA019 - บางปะหัน
"10050736",SRN012 - หน้าการเคหะสุรินทร์
"10050398",SPK011 - พระสมุทรเจดีย์
"10050495",PNB003 -  เคหะชุมชนเพชรบูรณ์
"10050552",LRI009 - โคกสำโรง 
"10050662",RYG018 - บ้านแลง
"10050176",KKN006 - โนนม่วง
"10050638",SSK011 - ยางชุมน้อย
"10050787",RYG033 - สี่แยกวังตาผิน
"10050103",BKK020 - ซอยนิคมอุตสาหกรรม
"10050412",KRI001 - ท่าม่วง
"10050731",PTE032 - ตลาดพระรูป
"10050105",SRI017 - แยกต้นแค มวกเหล็ก
"10050593",RYG013 - ดูโฮมบ่อวิน
"10050724",KKN035 - ถนนมะลิวัลย์ ร.8
"10050146",SRI026 - ทับกวาง
"10050164",NMA047 - ตลาดเมืองคง
"10050704",PCT005 - ทับคล้อ
"10050650",CBI077 - เคหะแหลมฉบัง
"10050279",CBI018 - บ่อวิน
"10050473",UBN014 - น้ำยืน
"10050651",PKN003 - ปราณบุรี
"10050352",NMA072 - ตลาดเสิงสาง
"10050539",RET009 - เสลภูมิ
"10050760",CTI005 - พลับพลา
"10050610",KPT006 - สลกบาตร
"10050540",ACR005 - ปทุมราชวงศา
"10050300",CBI021 - วัดบ้านเก่า
"10050664",NSN012 - ไพศาลี
"10050722",RBR010 - ห้วยชินสีห์
"10050541",UBN020 - ม่วงสามสิบ
"10050708",NBI039 - พิมลราช-บางบัวทอง
"10050465",UBN003 - พิบูลมังสาหาร
"10050042",AYA011 - หมู่บ้านกรุงศรีซิตี้
"10050723",KKN033 - ตลาดหนองกุง
"10050193",AYA020 - บ้านขวาง
"10050119",BKK028 - วัชรพล
"10050729",CCO019 - หน้านิคมเกตเวย์
"10050086",SRI005 - หินกอง
"10050470",UBN011 - ถนนวารินชำราบ-กันทรารมย์
"10050749",LEI002 - ตลาดวังสะพุง
"10050375",MKM015 - หน้า รพ.มหาสารคาม
"10050624",KPT005 - เมืองกำแพงเพชร
"10050483",RBR005 - หน้าตลาดศรีเมือง
"10050304",CBI028 - ตลาดอุดมกิตต์ 2
"10050205",SPB004 - เณรแก้ว
"10050590",NPT010 - แยกวัดละมุด
"10050448",RBR003 - บ้านไร่
"10050139",NBI029 - เซ็นเตอร์พอยท์ บางใหญ่
"10050350",CBI040 - บางพระ
"10050589",CBI067 - เตาถ่าน
"10050509",SPK017 - ทิพวัล
"10050387",KKN031 - มัญจาคีรี
"10050288",CBI023 - ดอนหัวฬ่อ
"10050696",NBI038 - หมู่บ้านพระปิ่น 3
"10050455",PNB001 - สามัคคีชัย
"10050720",PTE030 - ซอยคุณพระ
"10050648",SKW008 - ถนนทหารร่วมจิต
"10050420",RET001 - ตลาดทุ่งเจริญ
"10050317",NMA064 - ตลาดประปา
"10050422",KSN001 - ทุ่งศรีเมือง กาฬสินธุ์
"10050498",PLK001 - บางระกำ
"10050477",BKK064 - บางบอน 5
"10050485",CNT001 - หน้าเทศบาลเมืองชัยนาท
"10050274",BKK044 - ตลาดนครร่มเกล้า
"10050602",PNB006 - พุเตย
"10050516",MDH001 - ถนนพิทักษ์พนมเขต
"10050331",NMA067 - คลองส่งน้ำ
"10050342",BKK058 - ซอยสุภาพงษ์
"10050359",PTE026 - ตลาดรังสิต
"10050004",NBI004 - วัดลาดปลาดุก
"10050311",RYG002 - มาบยางพร 25
"10050497",PCT001 - ตะพานหิน
"10050320",NMA065 - เขตอุตสาหกรรมนิคมสุรนารี
"10050277",BRM011 - หนองกี่
"10050463",UBN005 - ไร่น้อย
"10050726",BRM020 - กระสัง
"10050608",CBI069 - ท่าเรือแหลมฉบัง
"10050127",NMA006 - กลางดง
"10050529",SPK016 - ซอยวัดบัวโรย
"10050550",PLK005 - หมู่บ้านชินลาภ
"10050035",PTE013 - บางขะแยง
"10050237",SRN004 - สังขะ
"10050236",NMA053 - แก้งสนามนาง
"10050222",BRM004 - ตลาดสดสตึก
"10050663",CBI080 - ซอยกรมที่ดินพัทยา
"10050595",PLK007 - บ้านกร่าง
"10050023",PTE008 - ตลาดวัดสระบัว
"10050553",PLK006 - สมอแข
"10050145",NMA012 - ตลาดโฮมการ์เด้นวิลล์
"10050493",CBI055 - บุญสัมพันธ์
"10050512",ACR001 - ลืออำนาจ
"10050400",NPT005 - กำแพงแสน
"10050417",SPB010 - อู่ทอง
"10050458",BKK062 - แฮปปี้แลนด์
"10050084",CCO007 - บ้านใหม่
"10050693",NBI036 - บัวทองเคหะ
"10050532",RET007 - มันนี่โอเค ราชการดำเนิน
"10050415",RET005 - โพนทอง
"10050389",CPM006 - ภูเขียว
"10050719",CBI095 - สุรศักดิ์
"10050526",BKK065 - สุขุมวิท 101/1
"10050673",SPK027 - ภูมิใจนิเวศน์
"10050449",PBI002 - ตลาดทุ่งลม
"10050413",RET002 - หน้า รพ. ร้อยเอ็ด
"10050716",UBN023 - หน้า ม.อุบลราชธานี
"10050467",UBN007 - หน้ารพ.สรรพสิทธิ์
"10050746",BKK072 - ถนนเฉลิมพระเกียรติ ร.9
"10050492",CBI054 - ตลาดหนองสมอ
"10050578",LRI011 - หน้าสนามกีฬากลางลพบุรี
"10050627",PTE012 - หมู่บ้านเจริญลาภ 5
"10050006",NBI006 - ไทรน้อย
"10050522",RET008 - พนมไพร
"10050427",SRN009 - ศีขรภูมิ
"10050418",AYA022 - โรจนะประตู บี
"10050517",CCO018 - ลำลูกกาคลอง 16
"10050613",CBI059 - มาบประชัน
"10050631",RET011 - โพธิ์ชัย
"10050098",BKK019 - คุ้มเกล้า
"10050688",CBI089 - ตลาดโป่ง
"10050241",SPB009 - ไผ่ขวาง
"10050370",MKM012 - ริมคลองสมถวิล
"10050148",NMA013 - ถนนช้างเผือก
"10050216",MKM005 - แวงน่าง
"10050358",NPT004 - พุทธมณฑลสาย 5
"10050393",RBR001 - บ้านโป่ง
"10050452",RYG008 - หน้า บขส.ใหม่ระยอง
"10050592",PBI004 - ตลาดเพชรไพบูลย์ 
"10050051",NBI016 - บ้านกล้วย
"10050572",NSN008 - หนองบัว
"10050263",SSK004 - ถนนศรีสะเกษ-อุบล
"10050570",CPM010 - บ้านแท่น 
"10050430",RYG004 - เมืองระยอง 
"10050564",NBP005 - เมืองหนองบัวลำภู
"10050474",UBN010 - หน้าสวนอุบลวนารมย์
"10050680",CBI087 - ถนนพรประภานิมิตร
"10050411",SPB011 - ศรีประจันต์
"10050457",SPK014 - ปากน้ำ
"10050709",NSN013 - คลองคาง
"10050234",CPM003 - หนองปลาเฒ่า
"10050456",UDN004 - แยกคริสเตียน
"10050178",KKN005 - โนนทัน
"10050033",PTE010 - ตลาดลาดสวาย
"10050424",RYG005 - เกาะกลอย
"10050204",SPB007 - หน้าอำเภอเมืองสุพรรณ
"10050072",BKK015 - สะพานใหม่
"10050682",RET012 - อาจสามารถ
"10050075",SKN002 - กระทุ่มแบน
"10050511",MDH002 - เมืองมุกดาหาร
"10050562",NBP002 - บ้านโนนเกษม
"10050429",AYA023 - ตลาดหัวรอ
"10050684",SPK029 - สำโรงเหนือ
"10050240",SRN005 - ถนนเทศบาล 1
"10050699",CBI092 - ตลาดเมืองทอง
"10050380",KKN029 - ดูโฮมขอนแก่น
"10050209",LRI001 - พัฒนานิคม
"10050312",CBI034 - หมู่บ้านมณีแก้ว
"10050190",KKN016 - ตลาดเคหะเมืองเก่า
"10050230",BRM005 - ถนนบุรีรัมย์-พุทไธสง
"10050314",CBI029 - นาพร้าว
"10050031",BKK005 - ถนนพหลโยธิน กม.27
"10050316",NMA063 - ลำทะเมนชัย
"10050126",NMA049 - หนองปรือ
"10050192",SPB001 - มาลัยแมน
"10050461",UBN009 - หน้าตลาดหนองบัว
"10050233",CPM001 - ห้าแยก โนนไฮ
"10050636",YST003 - กุดชุม
"10050525",KRI006 - ลาดหญ้า
"10050348",CBI042 - ห้วยปราบ
"10050475",UBN002 - ตระการพืชผล
"10050309",PTE020 - ลำลูกกาคลอง 7
"10050229",BRM002 - ลำปลายมาศ
"10050219",MKM002 - บ้านดินดำ
"10050038",AYA009 - เสนา
"10050640",KSN007 - สมเด็จ
"10050547",PLK004 - ถนนบรมไตรโลกนารถ
"10050508",KPT001 - ท่ามะเขือ
"10050206",BKK038 - เอกชัย 21
"10050244",NPT001 - อ้อมใหญ่
"10050191",KKN014 - กสิกรทุ่งสร้าง
"10050605",SKW006 - วังสมบูรณ์
"10050557",CPM008 - บ้านตาเนิน
"10050299",NMA062 - สูงเนิน
"10050402",SBR001 - บางระจัน
"10050616",CBI072 - ชุมชนมโนรม
"10050403",CBI046 - พนัสนิคม
"10050479",CBI056 - ชัยพฤกษ์
"10050416",LRI008 - บ้านหมี่
"10050464",CCO017 - สนามชัยเขต
"10050360",CBI044 - เจตน์จำนงค์
"10050513",UBN019 - หน้าตลาดดอนกลาง
"10050453",CBI053 - ชัยพร
"10050118",BKK027 - สุขาภิบาล 5
"10050712",CBI094 - ซอยโพธิสาร
"10050239",SRN003 - จิตรบำรุง
"10050163",CCO013 - ตลาดสุวินทวงศ์พลาซ่า
"10050013",NBI009 - ติวานนท์ 45
"10050078",BKK016 - มิตรไมตรี หนองจอก
"10050048",AYA013 - ภาชี
"10050275",SPK002 - เทพารักษ์ กม.16
"10050577",KRI010 - ถนนแสงชูโต
"10050391",MKM017 - วาปีปทุม
"10050372",BRM016 - ถนนนางรอง-ลำปลายมาศ
"10050428",KRI003 - เมืองกาญจนบุรี
"10050197",KKN018 - เมืองพล
"10050404",LRI007 - ลำนารายณ์
"10050129",SKN019 - ถนนเอกชัย
"10050507",NSN003 - ตาคลี
"10050117",NMA007 - เมืองปากช่อง
"10050442",CBI051 - เขาตาโล
"10050186",KKN020 - เหล่านาดี
"10050500",SRN010 - ดูโฮมสุรินทร์
"10050289",NMA056 - สีคิ้ว
"10050225",CBI003 - ตลาดทองหลาง
"10050491",CTI001 - ท่าช้าง
"10050538",NPT008 - ถนนเทศา
"10050601",SKW003 - หน้าเทศบาลวังน้ำเย็น
"10050390",KKN030 - น้ำพองนอก
"10050362",NMA073 - ถนนมิตรภาพ 2
"10050421",KSN004 - กุฉินารายณ์
"10050054",BKK011 - สายไหม ซอย7
"10050374",MKM014 - เชียงยืน
"10050489",RBR004 - หน้าตลาดกำนันหลัก
"10050504",KRI005 - หน้าตลาดชุกโดน
"10050434",KSN005 - หน้าโลตัสกาฬสินธุ์
"10050426",CBI050 - แยก กม.10
"10050037",AYA008 - สินทิวาธานี
"10050303",CBI024 - โป่งตามุข
"10050482",SKW002 - ถนนสุวรรณศร
